Sales
250077
224671
222009
233879
221261
213103
186822
237606
172398
216792
253064
229739
234748
239096
215268
213410
203444
187692
196441
237785
171186
207464
234895
213436
240250
227166
199318
209029
221643
199698
210205
240910
160411
194062
243021
208109
241527
229537
192743
217700
196496
191682
195255
219632
188882
185353
208523
209639
241889
187511
189476
212214
174317
197153
204431
197144
167146
216395
131072
0
0
